Company ID;Event ID;Event description;Order number;Order date;Order time;Order date time;Fulfillment date;Stat order date;Stat L/D;Cash desk;Delivery;Payment;WO;Table number;Customer name;Customer contact;Covers;Total Amount;Discount;Cash
20;3;FESTA D'AUTUNNO 2026;1;2026-09-05;15:25:19;2026-09-05 15:25:19.062+02;2026-09-05 15:28:21.019+02;2026-09-05;L;CASSA 1;T;E;O;106;;;2;46,00;0,00;0,00
20;3;FESTA D'AUTUNNO 2026;2;2026-09-05;15:39:07;2026-09-05 15:39:07.561+02;2026-09-05 15:47:36.638+02;2026-09-05;L;CASSA 1;T;C;O;206;;;3;65,00;0,00;0,00
20;3;FESTA D'AUTUNNO 2026;3;2026-09-05;15:40:02;2026-09-05 15:40:02.662+02;2026-09-05 15:48:17.969+02;2026-09-05;L;CASSA 1;A;C;O;;ROBERTO VINCENZI;;;72,00;0,00;0,00
20;3;FESTA D'AUTUNNO 2026;4;2026-09-05;15:41:12;2026-09-05 15:41:12.444+02;2026-09-05 15:52:55.121+02;2026-09-05;L;CASSA 1;T;C;O;105;;;6;120,50;0,00;0,00
20;3;FESTA D'AUTUNNO 2026;5;2026-09-05;15:43:39;2026-09-05 15:43:39.358+02;2026-09-05 15:54:22.644+02;2026-09-05;L;CASSA 1;T;C;O;409;;;4;112,50;0,00;0,00
20;3;FESTA D'AUTUNNO 2026;6;2026-09-06;01:01:44;2026-09-06 01:01:44.996+02;2026-09-06 01:12:07.476+02;2026-09-05;D;CASSA 1;T;C;O;106;;;5;114,00;0,00;0,00
20;3;FESTA D'AUTUNNO 2026;28;2026-09-06;23:08:59;2026-09-06 23:08:59.882+02;2026-09-06 23:22:31.502+02;2026-09-06;D;CASSA 1;A;E;I;;Renzo Gobbato;;;84,00;0,00;0,00
20;3;FESTA D'AUTUNNO 2026;22;2026-09-06;17:18:29;2026-09-06 17:18:29.62+02;2026-09-06 23:17:59.662+02;2026-09-06;L;CASSA 1;T;C;O;106;;;2;63,00;0,00;0,00
20;3;FESTA D'AUTUNNO 2026;7;2026-09-06;01:03:20;2026-09-06 01:03:20.416+02;2026-09-06 01:13:15.445+02;2026-09-05;D;CASSA 1;T;C;O;106;;;3;74,00;0,00;0,00
20;3;FESTA D'AUTUNNO 2026;27;2026-09-06;23:07:36;2026-09-06 23:07:36.379+02;2026-09-06 23:22:49.493+02;2026-09-06;D;CASSA 1;T;E;O;412;;;3;58,00;0,00;0,00
20;3;FESTA D'AUTUNNO 2026;9;2026-09-06;01:05:55;2026-09-06 01:05:55.923+02;2026-09-06 01:14:10.67+02;2026-09-05;D;CASSA 1;A;E;I;;PIPPO BAUDO;pippo@baudo.com;;184,00;0,00;0,00
20;3;FESTA D'AUTUNNO 2026;16;2026-09-06;15:28:52;2026-09-06 15:28:52.996+02;2026-09-06 15:36:10.371+02;2026-09-06;L;CASSA 1;T;E;I;413;Gianni;info@fracca.org;3;73,50;0,00;0,00
20;3;FESTA D'AUTUNNO 2026;17;2026-09-06;15:29:53;2026-09-06 15:29:53.831+02;2026-09-06 15:36:40.401+02;2026-09-06;L;CASSA 1;A;E;O;;Massimo Mattelato;;;71,50;0,00;0,00
20;3;FESTA D'AUTUNNO 2026;23;2026-09-06;23:02:06;2026-09-06 23:02:06.137+02;2026-09-06 23:18:44.718+02;2026-09-06;D;CASSA 1;A;E;O;;Filippo Ravaglia;f.ravaglia@supercomp.it;;105,00;0,00;0,00
20;3;FESTA D'AUTUNNO 2026;8;2026-09-06;01:04:11;2026-09-06 01:04:11.145+02;2026-09-06 01:15:26.086+02;2026-09-05;D;CASSA 1;T;E;O;304;;;5;133,50;0,00;0,00
